question,answer
I am a live-in caregiver. What happens if I lose my job?,"If you lose your job, you should find a new employerfind a new employer under the Live-in Caregiver Program as soon as possible. However, you may be eligible for Employment InsuranceEmployment Insurance (EIEI) benefits while you look for another job. If so, EIEI will provide you with benefits if you lose your job through no fault of your own. The number of hours you must work before you qualify for EIEI will depend on the unemployment rate in your region when you file a claim for benefits.You may also be eligible for EIEI benefits that are provided at certain times when you are unable to work. This includes sickness, maternity, parental and compassionate care benefits.While you are working, your employer deducts EIEI premiums from your wages. The amount deducted depends on how much you earn. Your employer sends your EIEI premiums to the government.For more information, contact the Service Canada officeService Canada office nearest you."
My employer is moving within the province. Do I need a new work permit or Labour Market Opinion?,"If your employer is moving within the same province or territory, you do not need a new work permit or Labour Market Opinion. However, you should send your new address to Immigration, Refugees and Citizenship Canadasend your new address to Immigration, Refugees and Citizenship Canada."
My employer is moving to another province or territory. Do I need a new work permit or Labour Market Opinion?,"If your employer is moving to a new province or territory, he or she must get a new Labour Market OpinionLabour Market Opinion from Employment and Social Development CanadaEmployment and Social Development Canada. Also, you must get a new work permit before you can work in the new location.Apply for a new work permitnew work permit well before you move to the new location with your employer. Be sure to apply at least 30 days before your current work permit expires."
Can I keep working as a live-in caregiver if my work permit has expired?,"It is illegal to work in Canada without a work permit. However, if you have applied to extend your work permit, you can keep working under the same conditions (such as working for the same employer) until we decide on your renewal application and notifies you. This is known as having implied status.You should apply to extend your work permitapply to extend your work permit at least 30 days before it expiresat least 30 days before it expires. Consult our current processing timescurrent processing times to find out when you are likely to receive your new work permit."
Can I work for more than one employer at a time under the Live-in Caregiver Program?,"No, you cannot work for more than one employer at a time under the Live-in Caregiver Program. Under this program, your work permit specifies your employer and the type of work you may do in Canada."
Can I change employers under the Live-in Caregiver Program?,"Yes, you may change employers under the Live-in Caregiver Program. However, you must first sign an employment contractemployment contract with your new employer so that your new employer may apply for a Labour Market Impact Assessment Labour Market Impact Assessment  (LMIA). After Employment and Social Development Canada issues a positive LMIA, you must apply for a new work permit.There are several other steps you must take before you change employers, including asking your current employer for some documents. For more information, see Changing JobsChanging Jobs."
How can I find a new live in caregiver position?,"Your local Service Canada officeService Canada office may have information about live-in caregiver jobs. You can search the national Job BankJob Bank. You can also try other ways, such as looking in the classified ads section of your local newspaper."
Can I leave the Live-in Caregiver Program and get another type of job?,"If you wish to leave the Live-in Caregiver Program (LCPLCP) and get another type of job, you need to find a job first. Then, your new employer must get a positive Labour Market Opinion (a document that an employer in Canada must usually get before hiring a foreign worker). After that, you must apply for a new work permit. For more information, see Changing JobsChanging Jobs.The hours you work for any employer outside the LCPLCP will not count toward the work experience you need to apply for permanent residence under the LCPLCP."
"As a temporary worker, what can I do if my employer is treating me unfairly?","As a temporary worker, your employment contractemployment contract should clearly define your: 
mandatory employer-paid benefits,mandatory employer-paid benefits,
job duties, job duties, 
hours of work,hours of work,
wages,wages,
accommodation arrangements (when applicable),accommodation arrangements (when applicable),
holiday and sick leave entitlements, andholiday and sick leave entitlements, and
termination and resignation terms.termination and resignation terms.
If you think your employer is treating you unfairly, you can call or write to the nearest provincial or territorial labour standards officeprovincial or territorial labour standards office for help. Your employer is not allowed to punish you for complaining to a labour standards office.See also As an immigrant or temporary resident, what can I do if I’m victim of abuse?As an immigrant or temporary resident, what can I do if I’m victim of abuse?"
How much should I be paid if I work extra hours or during a day off as a live-in caregiver?,"You should be paid for overtime according to the employment law in your province or territory.Employment and Social Development Canada provides information on wage rates. For information on overtime rates, consult your provincial or territorial labour standards officeprovincial or territorial labour standards office."
"As a live-in caregiver, can I refuse to work for personal or religious reasons?","You have the right to refuse duties that are not in your employment contract. The employment contract should clearly define your hours of work and your time off, including holidays and vacations. Before you sign a contract, you and your employer should agree to time-off requirements for personal or religious matters. You have the right to refuse duties that are not in your contract."
Can my family come to Canada with me if I am a live-in caregiver?,"Family members do not normally come to Canada with people working under the Live-in Caregiver Program. Even if an employer agrees that a family member can live with you in the home where you will provide care, future employers may not agree to the same terms. Also, you may not make enough money to support your family members in Canada.However, you may be allowed to bring your family with you if you satisfy a visa officer that:
you have enough money to care for and support your family members in Canada, andyou have enough money to care for and support your family members in Canada, and
your employer will let them live in the home where you will provide care.your employer will let them live in the home where you will provide care.
"
"As a temporary worker, what can I do if my employer is treating me unfairly?","As a temporary worker, your employment contractemployment contract should clearly define your: 
mandatory employer-paid benefits,mandatory employer-paid benefits,
job duties, job duties, 
hours of work,hours of work,
wages,wages,
accommodation arrangements (when applicable),accommodation arrangements (when applicable),
holiday and sick leave entitlements, andholiday and sick leave entitlements, and
termination and resignation terms.termination and resignation terms.
If you think your employer is treating you unfairly, you can call or write to the nearest provincial or territorial labour standards officeprovincial or territorial labour standards office for help. Your employer is not allowed to punish you for complaining to a labour standards office.See also As an immigrant or temporary resident, what can I do if I’m victim of abuse?As an immigrant or temporary resident, what can I do if I’m victim of abuse?"
"As an immigrant or temporary resident, what can I do if I’m victim of abuse?","Call 1-888-242-2100 to contact the IRCC Client Support CentreIRCC Client Support Centre for information on your citizenship or immigration status.In an emergency, call 9-1-1 or your local police.Call 2-1-12-1-1 to find community, social and health services.See also:
Learn about abuse and find services to help you deal with violence and abuse.Learn about abuse and find servicesLearn about abuse and find services to help you deal with violence and abuse.
Help for sponsored spouses or partners who are victims of abuse or neglect.Help for sponsored spouses or partnersHelp for sponsored spouses or partners who are victims of abuse or neglect.
What to do as foreign worker being treated unfairly.What to do as foreign worker being treated unfairlyforeign worker being treated unfairly.
"
Can my employer deport me?,"No, your employer cannot deport you from Canada. If your employer is threatening to do so, you can file a complaint with your provincial or territorial labour standards officeprovincial or territorial labour standards office. Threats or intimidation are considered forms of abuse in Canada. A caregiver support network or advocacy group can also give you counselling and help."
Can I study in Canada while I am a live-in caregiver?,"Yes. However, remember that you are in Canada to work as a full-time live-in caregiver.  Also, if your course or program lasts more than six months, you will need a study permitstudy permit. You can take non-credit special interest courses without a study permit. See the study permit application guideapplication guide for courses that do not require a study permit. If you are already working as a caregiver in Canada, you can download and print the study permit application formstudy permit application form, or apply onlineapply online. You must pay a processing fee for your study permit."
"As a live-in caregiver, can I work in another country for my Canadian employer?","No. Your live-in caregiver work permit only authorizes you to work in the Canadian home of your employer or of the person you are caring for. You may be able to get permission from another country to work there. However, that work does not count toward your work requirement for permanent residence under the Live-in Caregiver Program.If you work for your Canadian employer in another country, provincial or territorial labour and employment standards do not apply to you there."
"As a live-in caregiver, can I return to my home country for a vacation?","Yes, you can return to your home country for a vacation. The length of your vacation should be written in your employment contract. If you take a longer vacation than that, without written consent from your employer, you could lose your job in Canada. If you leave Canada before your application for permanent residence is approvedbefore your application for permanent residence is approved, you may not be allowed to come back into Canada, especially if:
you come from a country whose citizens need an eTA or a temporary resident visa to enter Canada, and you did not get one; oryou come from a country whose citizens need an eTA or a temporary resident visaneed an eTA or a temporary resident visa to enter Canada, and you did not get one; or
your work permit has expired and you no longer have legal status in Canada.your work permit has expired and you no longer have legal status in Canada.
In this case, if you cannot return to Canada for any reason, your application may be abandoned. Before travelling, check with your country’s government for information on visiting or exit visa requirements. They may have changed while you have been working in Canada. Citizens from some countries and territoriessome countries and territories must have temporary resident visas to enter Canada. If you are from one of these countries, you may have to get another visa before you can return to Canada. This could take time. Find out the rules before you leave Canada. If you stay outside Canada for more than one year or if your work permit expires while you are outside Canada, you will have to reapply to return to Canada under the Live-in Caregiver Program."
Can I leave Canada while IRCC processes my application for permanent residence?,"Yes. However, if you leave Canada while your application is being processed, you must meet all the admissibility rules before being allowed back into Canada. If you leave Canada and want to return, you must have all the required documents to enter. This can include: 
a valid passport or other travel documents,a valid passport or other travel documents,
a valid work permit or study permit, if you need one, anda valid work permitwork permit or study permitstudy permit, if you need one, and
a valid visitor visa or an Electronic Travel Authorization (eTA), if you need one.a valid visitor visa or an Electronic Travel Authorization (eTA)visitor visa or an Electronic Travel Authorization (eTA), if you need one.
If you are unable to return to Canada, we could determine that you abandoned your application. In that case, we will not process it.If a spouse or partner sponsored you under the Spouse or Common-law Partner in Canada (SCLPC) class while you were living in Canada:You may want to re-apply to be sponsored from outside Canada as a member of the Family classFamily class if:
you do not plan to live in Canada with your sponsor while we process your applicationyou do not plan to live in Canada with your sponsor while we process your application
you left and cannot return to Canadayou left and cannot return to Canada
If you need to re-apply from outside Canada to be sponsored as a member of the Family classFamily class, you should:
withdraw your SCLPC application, andwithdraw your SCLPC applicationwithdraw your SCLPC application, and
submit a new applicationsubmit a new application
"
Can my spouse or common-law partner work in Canada?,"Yes, in most cases, your spouse or common-law partner can work in Canada. However, they will usually need  a work permitneed  a work permit to work in Canada. They must apply for their  own work permitwork permit.  In some cases, your  spouse or common-law partner may be able to apply for an open work  permit—allowing him or her to accept any job with any employer. For more  information, see Who can apply for an open work permit?Who can apply for an open work permit?In other cases, your spouse or common-law partner must  apply for a work permit for a specific employer. The employer may have to get a Labour Market Impact AssessmentLabour Market Impact Assessment (LMIA). An LMIA allows an employer to hire someone for a specific job. Find out  if your spouse or common-law partner's employer needs an LMIAneeds an LMIA to  hire them."
I want to stay longer in Canada as a live-in caregiver. What documents do I need?,"If you want to continue working for the same employersame employer, you will need:
a letter from your employer stating that you will keep working for him or her full time for an additional period;a letter from your employer stating that you will keep working for him or her full time for an additional period;
a copy of a new, or extended, signed employment contract; anda copy of a new, or extended, signed employment contracta new, or extended, signed employment contract; and
if you work in the province of Quebec, a Certificat d’acceptation du Québec from the Ministère de l’Immigration, de la Diversité et de l’Inclusion.if you work in the province of QuebecQuebec, a Certificat d’acceptation du Québec from the Ministère de l’Immigration, de la Diversité et de l’InclusionCertificat d’acceptation du Québec from the Ministère de l’Immigration, de la Diversité et de l’InclusionMinistère de l’Immigration, de la Diversité et de l’Inclusion.
Once you have the necessary documents, you can apply to the Case Processing Centre in Vegreville, AlbertaCase Processing Centre in Vegreville, Alberta, to extend your work permitextend your work permit."
I am ready to apply for permanent residence. Can I apply for an open work permit?,"As a live-in caregiver, you can apply for an open work permit by completing an Application to Change Conditions or Extend Your Stay in Canada as a WorkerApplication to Change Conditions or Extend Your Stay in Canada as a Worker. To apply for an open work permit, you must have:
submitted an application for permanent residence under the Live-in Caregiver Class;submitted an application for permanent residence under the Live-in Caregiver Class;
held valid work permits under the program for two years or more; andheld valid work permits under the program for two years or more; and
worked for at least 3,900 hours or 2 years as a live-in caregiver within no more than 4 years.worked for at least 3,900 hours or 2 years as a live-in caregiver within no more than 4 years.
An open work permit allows you to work for any employer for the length of time specified on the work permit."
Does Canada give open work permits to live-in caregivers as soon as they enter Canada?,No. Live-in caregivers entering the program must work for the employer specified in their Labour Market Opinion (the document from  Employment and Social Development Canada authorizing the employer to hire the worker) and under the conditions specified in the work permit. They are only eligible for an open work permit after they have met their work obligations under the program and applied for both permanent residence and an open work permit.
I am a live-in caregiver. How and when should I apply for an open work permit?,"If you are a live-in caregiver, are eligibleeligible for an open work permit, and want to apply for it:

send your open work permit application in the same envelope as your permanent residence application, before your current work permit expires.

send your open work permit application in the same envelope as your permanent residence application, before your current work permit expires.send your open work permit applicationopen work permit application in the same envelope as your permanent residence application, before your current work permit expires.

See also: May I send my open work permit application and permanent residence applications separately?May I send my open work permit application and permanent residence applications separately?"
May I send my open work permit application and permanent residence applications separately?,"Yes. If you did not send an open work permit application with your permanent residence application, you can send it separately. Write, “Open Work Permit — Live-in CaregiverOpen Work Permit — Live-in Caregiver” on the top of the application form.Note, however, that if your application for permanent residence in Canada cannot be located, the application for an open work permit may be refused.  This is why we advise you to submit both applications at the same time."
Do I need to extend my work permit while my permanent residence application is being processed?,"You should submit your open work permit application with your permanent residence application. If you do so, you do not need to renew your current Live-in Caregiver Program work permit to keep working for your employer.However, you may need a valid work permit to renew documents such as your social insurance card or your health card. In these cases, you would need to renew your work permit."
I have applied for an open work permit and permanent residence. What if my current work permit expires?,"If you submitted an open work permit application with your permanent residence application, you can keep working after your current work permit expires. However, while the application is being processed, you can work only for the employer on your current work permit. While waiting for the open work permit, you do not have to extend your Live-in Caregiver Program work permit. This condition is known as “implied status.”"
Will the time I worked under any work permit help me get permanent residence under the Live-in Caregiver Program?,"No. To be eligible to apply for permanent residence under the Live-in Caregiver Program (LCPLCP), you must have applied for the program from outside Canada. Also, a visa officer must have decided that you met the criteria of the Live-in Caregiver Programcriteria of the Live-in Caregiver Program beforebefore you entered Canada and worked as a live-in caregiver. Only time you have worked as a live-in caregiver with a valid work permit under the Live-in Caregiver Program in Canadaunder the Live-in Caregiver Program in Canada counts toward the employment requirement for permanent residence."
Who should I include on my permanent residence application?,"You must include all your family members even if they are not coming to Canada with you. This includes:
spouse or partnerspouse or partner
dependent childrendependent children
dependent children of dependent children (grandchildren)dependent children of dependent children (grandchildren)
Also, for you to become a permanent resident, all your family members must pass a medical exam and background checksmedical exam and background checks even if they are not comingnot coming to Canada with you.If you don’t include all of them:
you could be refused entry into Canada, andyou could be refused entry into Canada, and
you may not be able to sponsor the family members you didn’t include in your application to come to Canada at a later date.you may not be able to sponsor the family members you didn’t include in your application to come to Canada at a later date.
"
How long will it take for me to get my permanent resident status?,Check the current processing times for live-in caregiver permanent residence applicationslive-in caregiver permanent residence applications.
How many hours of work experience do I need as a Live-in Caregiver to apply for permanent residence?,"Live-in caregivers working in Canada under the Live-in Caregiver Program need a certain amount of work experience to apply for permanent residence. They can qualify with one of two amounts of experiencetwo amounts of experience:
24 months of authorized full-time employment; or24 months of authorized full-time employment; or
3,900 hours of authorized full-time employment.3,900 hours of authorized full-time employment.
Live-in caregivers applying for permanent residence under the Live-in Caregiver Programapplying for permanent residence under the Live-in Caregiver Program, must choose one of these options. We will assess the application according to the option the applicant chooses."
What is a complex permanent residence application for the Live-in Caregiver program?,"Your application may be more complex if:
your dependent(s) turned 18 since you appliedyour dependent(s) turned 18 since you applied
you added dependant(s) to your application since you appliedyou added dependant(s) to your application since you applied
your dependant(s) married and/or had children of their own since you appliedyour dependant(s) married and/or had children of their own since you applied
you provided legal documents confirming a change to your marital status or concerning child custodyyou provided legal documents confirming a change to your marital status or concerning child custody
you were asked to resubmit a medical exam because one expired (exams for every person must all be valid at the same time)you were asked to resubmit a medical exam because one expiredmedical exam because one expired (exams for every person must all be valid at the same time)
there is an inadmissibility concern with you or one of your family membersthere is an inadmissibility concerninadmissibility concern with you or one of your family members
"
How do I change the sex on my application or document?,"This depends on why the sex as listed is incorrect:
We made a mistake recording your sex.We made a mistake recording your sex.We made a mistake recording your sex.
Visitor visa, work or study permit, Record of Landing, confirmation of Permanent ResidenceVisitor visa, work or study permit, Record of Landing, confirmation of Permanent Residence
Complete a Request to Amend Record of Landing, Confirmation of Permanent Residence or Valid Temporary Resident Documents to correct the mistake.Complete a Request to Amend Record of Landing, Confirmation of Permanent Residence or Valid Temporary Resident DocumentsRequest to Amend Record of Landing, Confirmation of Permanent Residence or Valid Temporary Resident Documents to correct the mistake.
Permanent Resident CardPermanent Resident Card
Ask to have your permanent resident (PR) card reissued.Ask to have your permanent resident (PR) card reissuedAsk to have your permanent resident (PR) card reissued.
Canadian citizenship certificateCanadian citizenship certificate
Ask to have it replaced if it has been 90 days or less since you got your certificate. Find out how to request a replacement.Ask to have it replaced if it has been 90 days or less since you got your certificate. Find out how to request a replacementhow to request a replacement.
Canadian passportsCanadian passports
Contact the Passport Program.Contact the Passport ProgramPassport Program.

I identify as a different gender than the one on my document.I identify as a different gender than the one on my document.I identify as a different gender than the one on my document.
Currently, we can only create documents with male or female sex options. We are putting processes in place to include X (unspecified). Until then, you can apply for a supporting document that says your sex should be X. Find out more.Currently, we can only create documents with male or female sex options. We are putting processes in place to include X (unspecified). Until then, you can apply for a supporting document that says your sex should be X. Find out moreFind out more.
Work permit, study permit, visa or eTAWork permit, study permit, visa or eTA
First, update the sex on your foreign passport. After the sex on your foreign passport has been updated, apply for a new visa, permit or eTA.First, update the sex on your foreign passport. AfterAfter the sex on your foreign passport has been updated, apply for a new visa, permit or eTA.
Find out how to submit your application for a new:Find out how to submit your application for a new:

visitor visa
study permit
work permit
eTA

visitor visavisitor visavisitor visa
study permitstudy permitstudy permit
work permitwork permitwork permit
eTAeTAeTA

Permanent Resident CardPermanent Resident Card
You can apply for a new PR card.You can apply for a new PR cardapply for a new PR card.
You will need to provide documents to support your application.You will need to provide documents to support your applicationdocuments to support your application.
If you want to change the sex on your PR Card without changing the sex on your foreign passport, submit the form: Request for new Permanent Resident Card indicating sex designation other than sex shown on foreign travel documentIf you want to change the sex on your PR Card without changing the sex on your foreign passportwithout changing the sex on your foreign passport, submit the form: Request for new Permanent Resident Card indicating sex designation other than sex shown on foreign travel documentRequest for new Permanent Resident Card indicating sex designation other than sex shown on foreign travel document
Application for citizenshipApplication for citizenship
Provide documents to support your application if:Provide documents to support your application if:

you are in the process of applying for citizenship and
you have not yet changed your document (for example, your PR card)

you are in the process of applying for citizenship andyou are in the process of applying for citizenship and
you have not yet changed your document (for example, your PR card)you have not yet changed your document (for example, your PR card)

See your instruction guide for more information.See your instruction guideinstruction guide for more information.
Canadian citizenship certificateCanadian citizenship certificate
You can apply for a new citizenship certificate and provide documentary evidence.You can apply for a new citizenship certificateapply for a new citizenship certificate and provide documentary evidenceprovide documentary evidence.
Canadian passports or travel documentsCanadian passports or travel documents
You can apply for a new passport at a Passport Office location or by mail.You can apply for a new passport at a Passport Office locationPassport Office location or by mailby mail.
You can apply for a new travel document at the Passport Office in Gatineau, Quebec or by mail.You can apply for a new travel document at the Passport Office in Gatineau, QuebecPassport Office in Gatineau, Quebec or by mailby mail.
You will need to provide documents to support your application.You will need to provide documents to support your applicationprovide documents to support your application.
"
Do I need to notify IRCC of a change of sex?,"For Canadian citizensNo, you do not need to notify us. But it’s a good idea to make sure your documents contain the same information.For permanent residentsNo, you do not need to notify us. But if you do, it could prevent delays at the border when you travel to Canada.If you are travelling by air, make sure that the sex on your permanent resident card matches the sex on your passport. This will help avoid potential problems at the airport.For temporary residentsYes, if any information on your foreign passport changes, you must apply for a new permit, visa or eTA. The sex on your visitor visa, eTA work or study permit must be the same as the sex on your foreign passport.See How do I change the sex on my application or document?How do I change the sex on my application or document? for more information.For protected personsNo, you do not need to notify us. But you may want to when you apply for permanent residence."
What can I use as official documents to change the sex on my documents?,"You must submit one of these:
a legal order issued by a Canadian provincial/territorial vital statistics organization with the updated sexa legal order issued by a Canadian provincial/territorial vital statistics organization with the updated sex
a court ordera court order
an amended birth certificate that shows a change of sexan amended birth certificate that shows a change of sex
a request form to change your sexa request form to change your sexrequest form to change your sex
You can also submit one of these as a supporting photo ID, but they do not qualify as official documents:they do not qualify as official documents:
driver’s licensedriver’s license
health cardhealth card
Your application guideapplication guide has full instructions about which documents you need to provide.If you can’t change the sex on your documents:If you can’t change the sex on your documents:
use a document that doesn’t have the sex designation you want, and:
    	
write a note and explain why you can’t update this document with the updated sex
or

apply for a Verification of Status document that will state your sex as unspecified. Find out more about this process.

use a document that doesn’t have the sex designation you want, and:
    	
write a note and explain why you can’t update this document with the updated sex
or

apply for a Verification of Status document that will state your sex as unspecified. Find out more about this process.

write a note and explain why you can’t update this document with the updated sex
or
write a note and explain why you can’t update this document with the updated sexwrite a note and explain why you can’t update this document with the updated sex
oror

apply for a Verification of Status document that will state your sex as unspecified. Find out more about this process.apply for a Verification of Status document that will state your sex as unspecified. Find out more about this processFind out more about this process.


For more information see: How do I change the sex on my application or document?How do I change the sex on my application or document?"
Do I have to be a Canadian citizen to change the sex on my document?,"No, you do not have to wait until you become a Canadian citizen. Find out how to change the sex on your documentsFind out how to change the sex on your documents."
Will changing the sex on my documents affect the decision on my citizenship application?,"No, it will have no effect. Read about how the decision is madehow the decision is made."
Can I apply for a name change at the same time as a change of sex on my documents?,Yes. Your application guideapplication guide has instructions on how to change your name and sex. You can change them both at the same time.
What are the requirements for becoming a Canadian citizen?,"Your eligibility for citizenship depends on your situation, such as:
permanent residents of Canada applying for:
    
yourself
your minor (under 18) child

past Canadian citizens who want to get your Canadian citizenship back

this includes current and former Canadian Armed Forces (CAF) members


Canadians applying for citizenship for your adopted child born outside Canada
current or former CAF members applying under the fast-track process
permanent residentspermanent residents of Canada applying for:
    
yourself
your minor (under 18) child

yourselfyourself
your minor (under 18) childyour minor (under 18) child

past Canadian citizens who want to get your Canadian citizenship back

this includes current and former Canadian Armed Forces (CAF) members

past Canadian citizens who want to get your Canadian citizenship backwant to get your Canadian citizenship back

this includes current and former Canadian Armed Forces (CAF) members

this includes current and former Canadian Armed Forces (CAF) membersthis includes current and former Canadian Armed Forces (CAF) members


Canadians applying for citizenship for your adopted child born outside CanadaCanadians applying for citizenship for your adopted child born outside Canadaadopted child born outside Canada
current or former CAF members applying under the fast-track processcurrent or former CAF members applying under the fast-track processfast-track process
Spouses of Canadian citizensYou don’t automatically become a citizen when you marry a Canadianautomatically become a citizen when you marry a Canadian. If you’re a spouse of a Canadian citizen, you:
don’t need to meet any special requirementsdon’t need to meet any special requirements
must meet the same eligibility requirements as other adults must meet the same eligibility requirements as other adults 
"
What is dual citizenship?,"Every country decides whom it considers to be a citizen. If more than one country recognizes you as a citizen, you have dual citizenship.You don’t apply for dual citizenship, and there is no related certificate. Canadians are allowed to take foreign citizenship while keeping their Canadian citizenship.Ask the embassy of your country of citizenship about its rules before applying for Canadian citizenship.For more information
Travelling as a dual citizenTravelling as a dual citizenTravelling as a dual citizen
"
Do I become a Canadian citizen when I marry a Canadian?,"No. Marrying a Canadian citizen doesn’tdoesn’t give you citizenship.If you want to become a Canadian citizen, you must follow the same steps as everyone else. There isn’tisn’t a special process for spouses of Canadian citizens.You must meet several requirements to apply for citizenshiprequirements to apply for citizenship. You must be physically present in Canada for at least 1,095 days during the five years right before the date you applied. This includes time as a:
permanent resident (PR)permanent resident (PR)
temporary resident (lawfully authorized to remain in Canada)temporary resident (lawfully authorized to remain in Canada)
protected person protected person 
Your Canadian spouse can sponsor you to become a permanent residentsponsor you to become a permanent resident if you:
don’t live in Canada ordon’t live in Canada oror
aren’t a permanent residentaren’t a permanent resident
You may apply for citizenshipapply for citizenship if you:
are a permanent resident are a permanent resident 
have been physically present in Canada long enoughhave been physically present in Canada long enoughhave been physically present in Canada long enough
meet the other requirementsmeet the other requirementsmeet the other requirements
 There are different rules to determine if children of Canadians born outside Canada have Canadian citizenshipif children of Canadians born outside Canada have Canadian citizenship.For more information
Application processing timesApplication processing timesApplication processing times
"
I am Canadian but my children were born outside Canada. Are they Canadian?,"Every situation is different. The official way to find out if your child is a citizen is to apply for a proof of citizenshipapply for a proof of citizenship for them.This answer is only for people who were citizens when their children were born. If you got Canadian citizenship afterafter your children were born, they did not automatically become citizens.On April 17, 2009, the rules changed for persons born outside Canada to a Canadian parent. My children were born before April 17, 2009There are many laws and rules that affect if your children are Canadian. Most children born to Canadian parents before April 17, 2009, were citizens at birth. Find out if they are Canadian by using the scenarios in the instruction guide for Proof of Citizenshipinstruction guide for Proof of Citizenship.Find out more about the citizenship rulescitizenship rules for people born outside of Canada before April 17, 2009. Ã‚Â My children were born on or after April 17, 2009Your children will only be Canadian at birth if you:
were born in Canadawere born in Canada
became a naturalized Canadian citizen before they were born
    
if you were adopted, see the exceptions

became a naturalized Canadian citizennaturalized Canadian citizen before they were born
    
if you were adopted, see the exceptions

if you were adopted, see the exceptionsif you were adopted, see the exceptions


There are exceptions to these rules.You were born outside Canada and adopted by a CanadianYour children born outside Canada will not be citizensnot be citizens if you:
were born outside Canadawere born outside Canada
were adopted by a Canadian citizenwere adopted by a Canadian citizen
became a Canadian citizen using the citizenship process for intercountry adoptionbecame a Canadian citizen using the citizenship process for intercountry adoptioncitizenship process for intercountry adoption
However, they will become citizens if their other parent was born in Canada or is a naturalized citizen.Your children are born outside Canada while you are working for the Canadian governmentYour children will be citizenswill be citizens at birth if, when they were born, you had a job with the:
Canadian Armed ForcesCanadian Armed Forces
federal public administrationfederal public administration
public service of a province or territorypublic service of a province or territory
This rule does notnot apply if you worked as a locally engaged person.You were born outside Canada while your parent worked for the Canadian governmentYour children will be citizenswill be citizens at birth if, when you were born outside Canada, your Canadian parent had a job with the:
Canadian Armed ForcesCanadian Armed Forces
federal public administrationfederal public administration
public service of a province or territorypublic service of a province or territory
This rule does notnot apply if your Canadian parent worked as a locally engaged person."
Can I count any time I’ve spent outside of Canada toward the physical presence requirement when applying for citizenship?,"The time you spend outside of Canada doesn’t count toward your physical presence requirementphysical presence requirement, except in some cases.You can count time spent outside Canada toward the physical presence requirement for citizenship if you:
were a permanent resident employed in or with the:
    
Canadian Armed Forces 
federal public administration
public service of a province or territory

were a permanent resident employed in or with the:
    
Canadian Armed Forces 
federal public administration
public service of a province or territory

Canadian Armed Forces Canadian Armed Forces 
federal public administrationfederal public administration
public service of a province or territorypublic service of a province or territory


lived outside Canada with your Canadian spouse or common-law partner or permanent resident spouse, common-law partner, or parent who was employed in or with the:
    
Canadian Armed Forces 
federal public administration 
public service of a province or territory

lived outside Canada with your Canadian spouse or common-law partner or permanent resident spouse, common-law partner, or parent who was employed in or with the:
    
Canadian Armed Forces 
federal public administration 
public service of a province or territory

Canadian Armed Forces Canadian Armed Forces 
federal public administration federal public administration 
public service of a province or territorypublic service of a province or territory


This doesn’t include employment as a locally engaged person.The physical presence requirement only uses time after:after:
becoming a permanent residentbecoming a permanent resident
your common-law relationship began (for calculating residence with a common-law partner)your common-law relationship began (for calculating residence with a common-law partnercommon-law partner)
Use the online physical presence calculatoronline physical presence calculator. Complete and submit the CIT 0177 Residence Outside Canada formCIT 0177 Residence Outside Canada form when you apply. We’ll decide if we can count the time you lived outside Canada.The travel journaltravel journal is an easy way to record your time outside Canada. It will help you fill out the physical presence calculator or the Residence Outside Canada form."
What does “adequate knowledge” of English or French mean when applying for citizenship?,"The Citizenship ActCitizenship Act requires that citizenship applicants have “an adequate knowledge of one of the official languages of Canada.” Canada’s two official languages are English and French.We define “adequate knowledge” as having a Level 4 speaking and listeningspeaking and listening ability. To measure your ability, we use the Canadian Language Benchmarks (CLB) or Niveaux de compétence linguistique canadienNiveaux de compétence linguistique canadien (NCLC). This level means you can, in English or French:
understand simple:
    
questions
directions
instructions

understand simple:
    
questions
directions
instructions

questionsquestions
directionsdirections
instructionsinstructions


use basic grammar, including:
    
tenses
simple structures

use basic grammar, including:
    
tenses
simple structures

tensestenses
simple structuressimple structures


show that you know enough common words and phrases to:
    
express yourself
answer questions

show that you know enough common words and phrases to:
    
express yourself
answer questions

express yourselfexpress yourself
answer questionsanswer questions


take part in short, everyday conversations about common topicstake part in short, everyday conversations about common topics
For more information
How we measure your language abilityHow we measure your language abilityHow we measure your language ability
"
How do you measure how well I can speak English or French when applying for citizenship?,"To measure if you have adequate knowledge of English or Frenchadequate knowledge of English or French we use:
Canadian Language Benchmarks (CLB)Canadian Language BenchmarksCanadian Language Benchmarks (CLB)
Niveaux de compétence linguistique canadien (NCLC)Niveaux de compétence linguistique canadienNiveaux de compétence linguistique canadien (NCLC)
You must reach CLB/NCLC Level 4 or higher to get Canadian citizenship.CLB/NCLC is the official standard used in Canada to describe, measure and recognize how well adult immigrants can communicate in their second language. We use this standard to make sure we evaluate everyone the same way.The ways we measure how well you can speak and listen in English or French include:
reviewing the documents you send in with your application to prove you can speak and listen in English or French at Level 4 (if you’re 18 to 54 years of age) reviewing the documents you send in with your applicationdocuments you send in with your application to prove you can speak and listen in English or French at Level 4 (if you’re 18 to 54 years of age) 
noting how well you communicate when you talk to staff or a citizenship officer during your interviewnoting how well you communicate when you talk to staff or a citizenship officer during your interview
Using the CLB/NCLC, a citizenship officer will make the final decision if you have adequate knowledge of English or French."
